env_id,record,human,random
Alien-v5,251916,7127.7,227.8
Amidar-v5,104159,1719.5,5.8
Assault-v5,8647,742,222.4
Asterix-v5,1000000,8503.3,210
Asteroids-v5,10506650,47388.7,719.1
Atlantis-v5,10604840,29028.1,12850
BankHeist-v5,82058,753.1,14.2
BattleZone-v5,801000,37187.5,2360
BeamRider-v5,999999,16926.5,363.9
Berzerk-v5,1057940,2630.4,123.7
Bowling-v5,300,160.7,23.1
Boxing-v5,100,12.1,0.1
Breakout-v5,864,30.5,1.7
Centipede-v5,1301709,12017,2090.9
ChopperCommand-v5,999999,7387.8,811
CrazyClimber-v5,219900,35829.4,10780.5
Defender-v5,993010,18688.9,2874.5
DemonAttack-v5,22,1971,152.1
DoubleDunk-v5,,-16.4,-18.6
Enduro-v5,9500,860.5,0
FishingDerby-v5,71,-38.7,-91.7
Freeway-v5,38,29.6,0
Frostbite-v5,454830,4334.7,65.2
Gopher-v5,355040,2412.5,257.6
Gravitar-v5,162850,3351.4,173
Hero-v5,1000000,30826.4,1027
IceHockey-v5,36,0.9,-11.2
Jamesbond-v5,45550,302.8,29
Kangaroo-v5,1424600,3035,52
Krull-v5,104100,2665.5,1598
KungFuMaster-v5,1000000,22736.3,258.5
MontezumaRevenge-v5,1219200,4753.3,0
MsPacman-v5,290090,6951.6,307.3
NameThisGame-v5,25220,8049,2292.3
Phoenix-v5,4014440,7242.6,761.4
Pitfall-v5,114000,6463.7,-229.4
Pong-v5,21,14.6,-20.7
PrivateEye-v5,101800,69571.3,24.9
Qbert-v5,2400000,13455,163.9
Riverraid-v5,1000000,17118,1338.5
RoadRunner-v5,2038100,7845,11.5
Robotank-v5,76,11.9,2.2
Seaquest-v5,999999,42054.7,68.4
Skiing-v5,â€“3272,-4336.9,-17098.1
Solaris-v5,111420,12326.7,1236.3
SpaceInvaders-v5,621535,1668.7,148
StarGunner-v5,77400,10250,664
Surround-v5,10,6.5,-10
Tennis-v5,21,-8.3,-23.8
TimePilot-v5,65300,5229.2,3568
Tutankham-v5,5384,167.6,11.4
UpNDown-v5,82840,11693.2,533.4
Venture-v5,38900,1187.5,0
VideoPinball-v5,89218328,17667.9,0
WizardOfWor-v5,395300,4756.5,563.5
YarsRevenge-v5,15000105,54576.9,3092.9
Zaxxon-v5,83700,9173.3,32.5
